a,E2,kinetic,potential,phi
0.5201653543307087,2.9198437517588083,-0.0025799971514802195,0.6817693595136681,nan
0.5280314960629922,2.8214233943291163,-0.002727641591438861,0.6820369836953802,nan
0.5358976377952757,2.7287071498166173,-0.0028507720985143543,0.6822902407731112,nan
0.543763779527559,2.6412876376980785,-0.0029505199014377634,0.6825291486692618,nan
0.5516299212598426,2.5587918250467605,-0.003028069025649195,0.6827537829425148,nan
0.559496062992126,2.4808777016408743,-0.00308466052391999,0.6829642841044414,nan
0.5673622047244095,2.40723131846927,-0.003121591209913801,0.6831608613255392,nan
0.575228346456693,2.3375641453511986,-0.003140207816604822,0.6833437929272077,nan
0.5830944881889764,2.271610709306032,-0.003141897538060586,0.6835134241088259,nan
0.5909606299212599,2.2091264803765704,-0.003128075915310722,0.6836701623932814,nan
0.5988267716535434,2.149885975956503,-0.003100172992162238,0.6838144712871024,nan
0.6066929133858268,2.0936810584077277,-0.0030596185989205174,0.6839468626434871,nan
0.6145590551181103,2.0403194039679247,-0.003007827528193126,0.684067888190766,nan
0.6224251968503938,1.989623123719659,-0.002946185253520862,0.684178130647792,nan
0.6302913385826772,1.941427519784126,-0.0028760347160745495,0.6842781947951677,nan
0.6381574803149607,1.8955799619702878,-0.002798664576650364,0.6843686988120834,nan
0.6460236220472442,1.8519388719001169,-0.002715299205233946,0.6844502661261875,nan
0.6538897637795276,1.8103728031825226,-0.0026270905640562283,0.6845235179617856,nan
0.6617559055118111,1.770759607556183,-0.0025351120380709665,0.6845890667134492,nan
0.6696220472440945,1.7329856780936708,-0.002440354180589566,0.6846475102193886,nan
0.677488188976378,1.6969452615806488,-0.002343722272307951,0.6846994269629408,nan
0.6853543307086615,1.6625398330755743,-0.0022460355414485886,0.6847453721931699,nan
0.6932204724409449,1.6296775264352612,-0.002148027856668867,0.6847858749252295,nan
0.7010866141732284,1.5982726152752065,-0.0020503496847235235,0.6848214357593041,nan
0.7089527559055119,1.568245039433943,-0.0019535710971413794,0.6848525254418283,nan
0.7168188976377953,1.5395199725389996,-0.001858185612057989,0.6848795840833783,nan
0.7246850393700788,1.5120274267380043,-0.001764614668388316,0.6849030209441115,nan
0.7325511811023623,1.4857018910701993,-0.001673212545367815,0.6849232146978096,nan
0.7404173228346457,1.4604820003181531,-0.0015842715599609473,0.6849405140888782,nan
0.7482834645669292,1.4363102315028304,-0.001498027396719324,0.6849552389025205,nan
0.7561496062992127,1.4131326254724959,-0.0014146644470076186,0.6849676811754778,nan
0.7640157480314961,1.3908985312916666,-0.001334321056165205,0.6849781065826174,nan
