observable,z,parameter,param_nominal,dp,dO_dp,abs_dO_dp,dlnO_dlnp,sigma_obs,normalized_score,stable,stability_rel_diff,step_reference,step_validation
fσ8,0.1,gamma,0.55,0.0055000000000000005,-0.45622209661937513,0.45622209661937513,-0.556996613235734,0.046637543610475,9.782292575908857,True,3.878027699139005e-06,0.0055000000000000005,0.0027500000000000003
fσ8,0.3,gamma,0.55,0.0055000000000000005,-0.3803004190040537,0.3803004190040537,-0.398037550832924,0.0319145176831252,11.916220159740579,True,1.980413792171522e-06,0.0055000000000000005,0.0027500000000000003
fσ8,0.5,gamma,0.55,0.0055000000000000005,-0.3062407805200355,0.3062407805200355,-0.2890428766060142,0.0548289351597774,5.585386249570906,True,1.0443195278511566e-06,0.0055000000000000005,0.0027500000000000003
fσ8,0.8,gamma,0.55,0.0055000000000000005,-0.21559476847111578,0.21559476847111578,-0.1850957612383535,0.0489499319736619,4.404393627903694,True,4.2825509160821924e-07,0.0055000000000000005,0.0027500000000000003
fσ8,1.0,gamma,0.55,0.0055000000000000005,-0.17032129159868312,0.17032129159868312,-0.14076340226097697,0.0527426322025612,3.2292906987378656,True,2.4767903657509413e-07,0.0055000000000000005,0.0027500000000000003
fσ8,1.5,gamma,0.55,0.0055000000000000005,-0.09746632846120327,0.09746632846120327,-0.07655014274963208,0.040635779043896,2.3985347581479166,True,7.324898749851167e-08,0.0055000000000000005,0.0027500000000000003
fσ8,2.0,gamma,0.55,0.0055000000000000005,-0.05955373780809246,0.05955373780809246,-0.0455882144722637,0.059120940731847,1.0073205377128298,True,2.597882605585903e-08,0.0055000000000000005,0.0027500000000000003
Hz,0.1,alpha,0.06,0.0006,0.0,0.0,0.0,4.547912097111927,0.0,True,0.0,0.0006,0.0003
Hz,0.2,alpha,0.06,0.0006,0.0,0.0,0.0,3.877756879504105,0.0,True,0.0,0.0006,0.0003
Hz,0.4,alpha,0.06,0.0006,0.0,0.0,0.0,4.7171958398227645,0.0,True,0.0,0.0006,0.0003
Hz,0.6,alpha,0.06,0.0006,0.0,0.0,0.0,4.394736058118728,0.0,True,0.0,0.0006,0.0003
Hz,0.8,alpha,0.06,0.0006,0.0,0.0,0.0,3.188354695775299,0.0,True,0.0,0.0006,0.0003
Hz,1.0,alpha,0.06,0.0006,0.0,0.0,0.0,4.951244703273511,0.0,True,0.0,0.0006,0.0003
Hz,1.5,alpha,0.06,0.0006,0.0,0.0,0.0,4.522279403980706,0.0,True,0.0,0.0006,0.0003
Hz,2.0,alpha,0.06,0.0006,0.0,0.0,0.0,4.572128610553907,0.0,True,0.0,0.0006,0.0003
fσ8,0.1,alpha,0.06,0.0006,-0.13086231922879166,0.13086231922879166,-0.01742927861050629,0.046637543610475,2.8059436474994666,True,3.5335449691067714e-13,0.0006,0.0003
fσ8,0.3,alpha,0.06,0.0006,-0.1969801585507969,0.1969801585507969,-0.022490975111701554,0.0319145176831252,6.1721176709165855,True,4.696378265072397e-13,0.0006,0.0003
fσ8,0.5,alpha,0.06,0.0006,-0.27432656877472245,0.27432656877472245,-0.028245917097160178,0.0548289351597774,5.003317463220932,True,0.0,0.0006,0.0003
fσ8,0.8,alpha,0.06,0.0006,-0.4032336102831787,0.4032336102831787,-0.03776622187071666,0.0489499319736619,8.23767457940786,True,2.294875395865428e-13,0.0006,0.0003
fσ8,1.0,alpha,0.06,0.0006,-0.4910893808753499,0.4910893808753499,-0.04427615687167269,0.0527426322025612,9.311051806995374,True,3.7675151257378694e-13,0.0006,0.0003
fσ8,1.5,alpha,0.06,0.0006,-0.679431240286077,0.679431240286077,-0.05821373587475675,0.040635779043896,16.720024969919606,True,4.085119136401645e-13,0.0006,0.0003
fσ8,2.0,alpha,0.06,0.0006,-0.7643482537127618,0.7643482537127618,-0.06382978723404509,0.059120940731847,12.928553643616603,True,1.209940331544747e-13,0.0006,0.0003
Hz,0.1,z_peak,2.0,0.02,0.0,0.0,0.0,4.547912097111927,0.0,True,0.0,0.02,0.01
Hz,0.2,z_peak,2.0,0.02,0.0,0.0,0.0,3.877756879504105,0.0,True,0.0,0.02,0.01
Hz,0.4,z_peak,2.0,0.02,0.0,0.0,0.0,4.7171958398227645,0.0,True,0.0,0.02,0.01
Hz,0.6,z_peak,2.0,0.02,0.0,0.0,0.0,4.394736058118728,0.0,True,0.0,0.02,0.01
Hz,0.8,z_peak,2.0,0.02,0.0,0.0,0.0,3.188354695775299,0.0,True,0.0,0.02,0.01
Hz,1.0,z_peak,2.0,0.02,0.0,0.0,0.0,4.951244703273511,0.0,True,0.0,0.02,0.01
Hz,1.5,z_peak,2.0,0.02,0.0,0.0,0.0,4.522279403980706,0.0,True,0.0,0.02,0.01
Hz,2.0,z_peak,2.0,0.02,0.0,0.0,0.0,4.572128610553907,0.0,True,0.0,0.02,0.01
fσ8,0.1,z_peak,2.0,0.02,0.010359697097869769,0.010359697097869769,0.04599287966755911,0.046637543610475,0.22213213423922556,True,1.712236324131124e-05,0.02,0.01
fσ8,0.3,z_peak,2.0,0.02,0.013952119746010738,0.013952119746010738,0.05310124976912095,0.0319145176831252,0.43717156826681175,True,3.448211991096675e-05,0.02,0.01
fσ8,0.5,z_peak,2.0,0.02,0.017144269525493083,0.017144269525493083,0.05884174445459552,0.0548289351597774,0.31268653085333215,True,4.991292997099161e-05,0.02,0.01
fσ8,0.8,z_peak,2.0,0.02,0.020159813769674018,0.020159813769674018,0.06293787524004243,0.0489499319736619,0.41184559317715186,True,6.944243519450698e-05,0.02,0.01
fσ8,1.0,z_peak,2.0,0.02,0.020459873555725427,0.020459873555725427,0.0614880988000717,0.0527426322025612,0.3879190836958624,True,8.005100229652087e-05,0.02,0.01
fσ8,1.5,z_peak,2.0,0.02,0.014152965450148214,0.014152965450148214,0.04042091599107615,0.040635779043896,0.34828827656680955,True,9.813370016032124e-05,0.02,0.01
fσ8,2.0,z_peak,2.0,0.02,0.0,0.0,0.0,0.059120940731847,0.0,True,0.0,0.02,0.01
Hz,0.1,width,1.2,0.012,0.0,0.0,0.0,4.547912097111927,0.0,True,0.0,0.012,0.006
Hz,0.2,width,1.2,0.012,0.0,0.0,0.0,3.877756879504105,0.0,True,0.0,0.012,0.006
Hz,0.4,width,1.2,0.012,0.0,0.0,0.0,4.7171958398227645,0.0,True,0.0,0.012,0.006
Hz,0.6,width,1.2,0.012,0.0,0.0,0.0,4.394736058118728,0.0,True,0.0,0.012,0.006
Hz,0.8,width,1.2,0.012,0.0,0.0,0.0,3.188354695775299,0.0,True,0.0,0.012,0.006
Hz,1.0,width,1.2,0.012,0.0,0.0,0.0,4.951244703273511,0.0,True,0.0,0.012,0.006
Hz,1.5,width,1.2,0.012,0.0,0.0,0.0,4.522279403980706,0.0,True,0.0,0.012,0.006
Hz,2.0,width,1.2,0.012,0.0,0.0,0.0,4.572128610553907,0.0,True,0.0,0.012,0.006
fσ8,0.1,width,1.2,0.012,-0.016402058561633404,0.016402058561633404,-0.0436911175258541,0.046637543610475,0.35169216240517065,True,5.348234702985365e-05,0.012,0.006
fσ8,0.3,width,1.2,0.012,-0.01976574117030135,0.01976574117030135,-0.045136606244627675,0.0319145176831252,0.6193338519651977,True,2.5446435100240674e-05,0.012,0.006
fσ8,0.5,width,1.2,0.012,-0.021431898248607435,0.021431898248607435,-0.04413452359855555,0.0548289351597774,0.39088664016823566,True,4.724040821830403e-06,0.012,0.006
fσ8,0.8,width,1.2,0.012,-0.020163024501834714,0.020163024501834714,-0.03776873938589698,0.0489499319736619,0.41191118534513327,True,4.999338384745488e-05,0.012,0.006
fσ8,1.0,width,1.2,0.012,-0.017053485811458862,0.017053485811458862,-0.030750524951328555,0.0527426322025612,0.3233339918638103,True,7.790229834632157e-05,0.012,0.006
fσ8,1.5,width,1.2,0.012,-0.0058988696930994955,0.0058988696930994955,-0.010108314776021001,0.040635779043896,0.14516442976834176,True,0.00013085956515080445,0.012,0.006
fσ8,2.0,width,1.2,0.012,0.0,0.0,0.0,0.059120940731847,0.0,True,0.0,0.012,0.006
Hz,0.1,beta,0.0,0.0001,9.53089886323255,9.53089886323255,,4.547912097111927,2.095664704971977,True,5.964119405724017e-11,0.0001,5e-05
Hz,0.2,beta,0.0,0.0001,10.294181166230487,10.294181166230487,,3.877756879504105,2.65467420627642,True,7.592609813002332e-11,0.0001,5e-05
Hz,0.4,beta,0.0,0.0001,11.658697641934168,11.658697641934168,,4.7171958398227645,2.471531400818884,True,7.31343507792543e-11,0.0001,5e-05
Hz,0.6,beta,0.0,0.0001,12.760359890151562,12.760359890151562,,4.394736058118728,2.903555463035917,True,5.011523716581811e-11,0.0001,5e-05
Hz,0.8,beta,0.0,0.0001,13.563545130068633,13.563545130068633,,3.188354695775299,4.254089153895232,True,5.238621090456219e-11,0.0001,5e-05
Hz,1.0,beta,0.0,0.0001,14.047223823041577,14.047223823041577,,4.951244703273511,2.8371095885756294,True,4.046594514274651e-11,0.0001,5e-05
Hz,1.5,beta,0.0,0.0001,13.825321170202187,13.825321170202187,,4.522279403980706,3.057157670981705,True,2.0557720924592917e-11,0.0001,5e-05
Hz,2.0,beta,0.0,0.0001,11.798497593247248,11.798497593247248,,4.572128610553907,2.580526183365143,True,0.0,0.0001,5e-05
fσ8,0.1,beta,0.0,0.0001,0.0,0.0,,0.046637543610475,0.0,True,0.0,0.0001,5e-05
fσ8,0.3,beta,0.0,0.0001,0.0,0.0,,0.0319145176831252,0.0,True,0.0,0.0001,5e-05
fσ8,0.5,beta,0.0,0.0001,0.0,0.0,,0.0548289351597774,0.0,True,0.0,0.0001,5e-05
fσ8,0.8,beta,0.0,0.0001,0.0,0.0,,0.0489499319736619,0.0,True,0.0,0.0001,5e-05
fσ8,1.0,beta,0.0,0.0001,0.0,0.0,,0.0527426322025612,0.0,True,0.0,0.0001,5e-05
fσ8,1.5,beta,0.0,0.0001,0.0,0.0,,0.040635779043896,0.0,True,0.0,0.0001,5e-05
fσ8,2.0,beta,0.0,0.0001,0.0,0.0,,0.059120940731847,0.0,True,0.0,0.0001,5e-05
